price,number_of_reviews,,,,,
79,405,,,,,
39,1,,,,,
20,0,,,,,
23,0,,,,,
55,46,,,,,
70,21,,,,,
70,43,,,,,
2,2019/8/22,,,,,
25,250,,,,,
62,29,,,,,
70,270,,,,,
28,20,,,,,
45,3,,,,,
46,3,,,,,
185,1,,,,,
125,44,,,,,
20,6,,,,,
70,66,,,,,
25,0,,,,,
35,33,,,,,
65,20,,,,,
60,0,,,,,
153,110,,,,,
79,39,,,,,
45,0,,,,,
38,47,,,,,
159,67,,,,,
225,1,,,,,
20,0,,,,,
60,0,,,,,
45,0,,,,,
45,0,,,,,
45,2,,,,,
30,25,,,,,
29,223,,,,,
118,25,,,,,
300,22,,,,,
70,0,,,,,
20,0,,,,,
160,47,,,,,
35,219,,,,,
79,269,,,,,
135,66,,,,,
105,46,,,,,
20,218,,,,,
100,339,,,,,
30,18,,,,,
55,236,,,,,
38,86,,,,,
70,75,,,,,
62,422,,,,,
45,24,,,,,
37,112,,,,,
94,6,,,,,
94,11,,,,,
56,305,,,,,
125,32,,,,,
130,146,,,,,
45,0,,,,,
45,2,,,,,
45,0,,,,,
60,105,,,,,
60,113,,,,,
38,3,,,,,
55,31,,,,,
95,3,,,,,
90,0,,,,,
67,14,,,,,
75,15,,,,,
85,3,,,,,
28,59,,,,,
38,207,,,,,
22,23,,,,,
20,5,,,,,
25,1,,,,,
68,19,,,,,
26,46,,,,,
58,120,,,,,
70,11,,,,,
60,2,,,,,
70,14,,,,,
90,82,,,,,
20,23,,,,,
30,20,,,,,
125,130,,,,,
25,126,,,,,
85,0,,,,,
115,112,,,,,
75,128,,,,,
125,369,,,,,
38,3,,,,,
63,239,,,,,
35,31,,,,,
100,4,,,,,
48,117,,,,,
65,187,,,,,
102,282,,,,,
70,97,,,,,
30,130,,,,,
18,15,,,,,
69,563,,,,,
15,9,,,,,
85,24,,,,,
69,54,,,,,
50,13,,,,,
110,13,,,,,
90,10,,,,,
82,69,,,,,
68,175,,,,,
300,38,,,,,
65,288,,,,,
153,64,,,,,
12,2,,,,,
12,9,,,,,
95,1,,,,,
50,0,,,,,
70,1,,,,,
55,0,,,,,
28,151,,,,,
27,110,,,,,
26,39,,,,,
48,173,,,,,
68,251,,,,,
70,78,,,,,
62,4,,,,,
39,84,,,,,
35,387,,,,,
80,241,,,,,
110,50,,,,,
80,18,,,,,
125,1,,,,,
27,0,,,,,
400,33,,,,,
40,38,,,,,
45,36,,,,,
27,30,,,,,
68,25,,,,,
50,68,,,,,
60,154,,,,,
150,111,,,,,
110,329,,,,,
69,238,,,,,
43,23,,,,,
100,50,,,,,
70,61,,,,,
78,11,,,,,
115,3,,,,,
80,83,,,,,
70,10,,,,,
24,39,,,,,
65,333,,,,,
35,41,,,,,
39,50,,,,,
85,34,,,,,
40,5,,,,,
55,181,,,,,
20,0,,,,,
38,152,,,,,
79,176,,,,,
68,154,,,,,
50,137,,,,,
70,45,,,,,
100,0,,,,,
70,260,,,,,
15,64,,,,,
80,4,,,,,
153,49,,,,,
29,341,,,,,
20,6,,,,,
45,14,,,,,
130,31,,,,,
150,112,,,,,
80,4,,,,,
210,4,,,,,
110,45,,,,,
70,7,,,,,
25,16,,,,,
20,16,,,,,
50,246,,,,,
115,128,,,,,
30,23,,,,,
95,35,,,,,
79,156,,,,,
25,26,,,,,
49,341,,,,,
15,61,,,,,
140,281,,,,,
47,43,,,,,
100,47,,,,,
83,452,,,,,
22,12,,,,,
58,331,,,,,
60,269,,,,,
95,110,,,,,
95,22,,,,,
29,3,,,,,
55,15,,,,,
80,38,,,,,
45,42,,,,,
36,240,,,,,
45,0,,,,,
94,23,,,,,
61,20,,,,,
350,6,,,,,
92,100,,,,,
125,7,,,,,
28,40,,,,,
45,0,,,,,
23,77,,,,,
75,1,,,,,
75,117,,,,,
76,38,,,,,
35,167,,,,,
75,122,,,,,
75,64,,,,,
29,282,,,,,
85,3,,,,,
25,38,,,,,
25,21,,,,,
75,138,,,,,
30,74,,,,,
84,211,,,,,
70,242,,,,,
50,32,,,,,
190,142,,,,,
25,19,,,,,
81,120,,,,,
60,67,,,,,
115,41,,,,,
45,19,,,,,
45,139,,,,,
70,427,,,,,
20,12,,,,,
103,4,,,,,
110,64,,,,,
250,0,,,,,
120,58,,,,,
85,0,,,,,
88,33,,,,,
63,31,,,,,
61,134,,,,,
33,12,,,,,
82,194,,,,,
60,15,,,,,
90,26,,,,,
32,27,,,,,
54,90,,,,,
55,50,,,,,
68,159,,,,,
81,283,,,,,
85,151,,,,,
79,385,,,,,
69,18,,,,,
49,145,,,,,
60,75,,,,,
22,39,,,,,
57,197,,,,,
76,32,,,,,
17,69,,,,,
130,29,,,,,
